filepath,modality,channel,emotion,intensity,statement,repetition,actor,gender,label
../data/Actor_01\03-01-01-01-01-01-01.wav,3,1,1,1,1,1,1,male,neutral
../data/Actor_01\03-01-01-01-01-02-01.wav,3,1,1,1,1,2,1,male,neutral
../data/Actor_01\03-01-01-01-02-01-01.wav,3,1,1,1,2,1,1,male,neutral
../data/Actor_01\03-01-01-01-02-02-01.wav,3,1,1,1,2,2,1,male,neutral
../data/Actor_01\03-01-02-01-01-01-01.wav,3,1,2,1,1,1,1,male,calm
../data/Actor_01\03-01-02-01-01-02-01.wav,3,1,2,1,1,2,1,male,calm
../data/Actor_01\03-01-02-01-02-01-01.wav,3,1,2,1,2,1,1,male,calm
../data/Actor_01\03-01-02-01-02-02-01.wav,3,1,2,1,2,2,1,male,calm
../data/Actor_01\03-01-02-02-01-01-01.wav,3,1,2,2,1,1,1,male,calm
../data/Actor_01\03-01-02-02-01-02-01.wav,3,1,2,2,1,2,1,male,calm
../data/Actor_01\03-01-02-02-02-01-01.wav,3,1,2,2,2,1,1,male,calm
../data/Actor_01\03-01-02-02-02-02-01.wav,3,1,2,2,2,2,1,male,calm
../data/Actor_01\03-01-03-01-01-01-01.wav,3,1,3,1,1,1,1,male,happy
../data/Actor_01\03-01-03-01-01-02-01.wav,3,1,3,1,1,2,1,male,happy
../data/Actor_01\03-01-03-01-02-01-01.wav,3,1,3,1,2,1,1,male,happy
../data/Actor_01\03-01-03-01-02-02-01.wav,3,1,3,1,2,2,1,male,happy
../data/Actor_01\03-01-03-02-01-01-01.wav,3,1,3,2,1,1,1,male,happy
../data/Actor_01\03-01-03-02-01-02-01.wav,3,1,3,2,1,2,1,male,happy
../data/Actor_01\03-01-03-02-02-01-01.wav,3,1,3,2,2,1,1,male,happy
../data/Actor_01\03-01-03-02-02-02-01.wav,3,1,3,2,2,2,1,male,happy
../data/Actor_01\03-01-04-01-01-01-01.wav,3,1,4,1,1,1,1,male,sad
../data/Actor_01\03-01-04-01-01-02-01.wav,3,1,4,1,1,2,1,male,sad
../data/Actor_01\03-01-04-01-02-01-01.wav,3,1,4,1,2,1,1,male,sad
../data/Actor_01\03-01-04-01-02-02-01.wav,3,1,4,1,2,2,1,male,sad
../data/Actor_01\03-01-04-02-01-01-01.wav,3,1,4,2,1,1,1,male,sad
../data/Actor_01\03-01-04-02-01-02-01.wav,3,1,4,2,1,2,1,male,sad
../data/Actor_01\03-01-04-02-02-01-01.wav,3,1,4,2,2,1,1,male,sad
../data/Actor_01\03-01-04-02-02-02-01.wav,3,1,4,2,2,2,1,male,sad
../data/Actor_01\03-01-05-01-01-01-01.wav,3,1,5,1,1,1,1,male,angry
../data/Actor_01\03-01-05-01-01-02-01.wav,3,1,5,1,1,2,1,male,angry
../data/Actor_01\03-01-05-01-02-01-01.wav,3,1,5,1,2,1,1,male,angry
../data/Actor_01\03-01-05-01-02-02-01.wav,3,1,5,1,2,2,1,male,angry
../data/Actor_01\03-01-05-02-01-01-01.wav,3,1,5,2,1,1,1,male,angry
../data/Actor_01\03-01-05-02-01-02-01.wav,3,1,5,2,1,2,1,male,angry
../data/Actor_01\03-01-05-02-02-01-01.wav,3,1,5,2,2,1,1,male,angry
../data/Actor_01\03-01-05-02-02-02-01.wav,3,1,5,2,2,2,1,male,angry
../data/Actor_01\03-01-06-01-01-01-01.wav,3,1,6,1,1,1,1,male,fearful
../data/Actor_01\03-01-06-01-01-02-01.wav,3,1,6,1,1,2,1,male,fearful
../data/Actor_01\03-01-06-01-02-01-01.wav,3,1,6,1,2,1,1,male,fearful
../data/Actor_01\03-01-06-01-02-02-01.wav,3,1,6,1,2,2,1,male,fearful
../data/Actor_01\03-01-06-02-01-01-01.wav,3,1,6,2,1,1,1,male,fearful
../data/Actor_01\03-01-06-02-01-02-01.wav,3,1,6,2,1,2,1,male,fearful
